TraesCS1A02G135900	TraesCS1D02G138700	92.166	60	0.0
TraesCS1A02G041500	TraesCS1B02G033900	93.651	100	1.44e-105
TraesCS1A02G040500	TraesCS1D02G041300	83.917	53	0.0
TraesCS1A02G181600	TraesCS1B02G199200	95.430	24	0.0
TraesCS1A02G042000	TraesCS6A02G180000	97.450	100	0.0
TraesCS1A02G042000	TraesCS1B02G416900	94.353	100	0.0
TraesCS1A02G042000	TraesCS3B02G539700	90.744	100	0.0
TraesCS1A02G086900	TraesCS1D02G209200	91.039	4	1.69e-103
TraesCS1A02G236500	TraesCS1D02G235900	96.722	84	0.0
TraesCS1A02G236500	TraesCS1B02G247200	96.424	53	0.0
TraesCS1A02G347900	TraesCS6D02G206900	79.615	5	2.03e-46
TraesCS1A02G130400	TraesCS5D02G559600	100.000	100	7.41e-66
TraesCS1A02G130400	TraesCS3B02G187400	99.242	100	3.45e-64
TraesCS1A02G130400	TraesCS1D02G182800	99.242	100	3.45e-64
TraesCS1A02G130400	TraesCS3D02G447100	98.485	100	1.60e-62
TraesCS1A02G130400	TraesCS4D02G043200	96.970	100	3.47e-59
TraesCS1A02G098100	TraesCS4B02G238200	98.718	100	2.82e-117
TraesCS1A02G098100	TraesCS4D02G138100	98.291	100	1.31e-115
TraesCS1A02G098100	TraesCS1B02G458500	98.291	100	1.31e-115
TraesCS1A02G098100	TraesCS7A02G526100	97.872	100	6.10e-114
TraesCS1A02G098100	TraesCS2B02G283300	97.863	100	6.10e-114
TraesCS1A02G098100	TraesCS7D02G301500	97.447	100	2.84e-112
TraesCS1A02G098100	TraesCS3D02G386700	97.436	100	2.84e-112
TraesCS1A02G098100	TraesCS2D02G247400	96.581	100	6.15e-109
TraesCS1A02G098100	TraesCS4A02G161400	97.143	90	6.24e-99
TraesCS1A02G264200	TraesCS1B02G274800	85.654	6	3.93e-62
TraesCS1A02G264200	TraesCS2D02G146100	96.154	4	2.38e-54
TraesCS1A02G264200	TraesCS4B02G112300	93.893	4	6.67e-50
TraesCS1A02G264200	TraesCS2B02G308000	94.488	4	2.40e-49
TraesCS1A02G264200	TraesCS5D02G288000	92.913	4	5.19e-46
TraesCS1A02G264200	TraesCS1D02G264300	89.583	4	1.87e-45
TraesCS1A02G264200	TraesCS1B02G314800	87.097	2	1.52e-11
TraesCS1A02G349100	TraesCS1B02G363800	88.342	26	0.0
TraesCS1A02G167400	TraesCS1D02G173500	95.863	66	0.0
TraesCS1A02G230000	TraesCS1D02G232000	96.113	67	0.0
TraesCS1A02G230000	TraesCS1B02G244100	95.103	67	0.0
TraesCS1A02G288200	TraesCS2B02G266700	95.327	3	3.82e-42
TraesCS1A02G288200	TraesCS4A02G421400	94.495	3	1.37e-41
TraesCS1A02G288200	TraesCS7A02G061200	89.720	3	3.87e-32
TraesCS1A02G288200	TraesCS5A02G105700	88.785	3	1.80e-30
TraesCS1A02G288200	TraesCS5A02G174300	87.156	3	3.02e-28
TraesCS1A02G288200	TraesCS4B02G261400	87.156	3	3.02e-28
TraesCS1A02G288200	TraesCS2B02G431500	83.621	3	8.44e-24
TraesCS1A02G288200	TraesCS6B02G259900	84.404	3	3.04e-23
TraesCS1A02G288200	TraesCS1B02G199200	89.474	2	6.57e-20
TraesCS1A02G288200	TraesCS2B02G520100	82.955	2	1.43e-11
TraesCS1A02G288200	TraesCS3B02G340600	91.304	1	2.40e-09
TraesCS1B02G244200	TraesCS1A02G229900	94.866	28	0.0
TraesCS1B02G244200	TraesCS7A02G121800	93.939	3	6.90e-51
TraesCS1B02G244200	TraesCS1D02G209200	94.531	3	2.48e-50
